"1 _ 1",,,"2A",,,"1 _ 3",,,"4A",,
"Time","Force","Uzama","Time","Force","Uzama","Time","Force","Uzama","Time","Force","Uzama"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0.49","0.4243851","0.01616667","0.49","22.885","0.01623333","0.49","16.10279","0.01623333","0.49","26.5646","0.01626667"
"0.5","0.4291534","0.01653333","0.5","23.16316","0.01653333","0.5","16.11868","0.01656667","0.5","26.84752","0.0166"
"0.51","0.4291534","0.01683333","0.51","23.38251","0.01686667","0.51","16.13458","0.01686667","0.51","27.10819","0.01693333"
"0.52","0.4307429","0.01716667","0.52","23.57006","0.0172","0.52","16.16796","0.0172","0.52","27.3625","0.01726667"
"0.53","0.4371007","0.01753333","0.53","23.72265","0.01756667","0.53","16.22677","0.01753333","0.53","27.63589","0.0176"
"0.54","0.4418691","0.01786667","0.54","23.82437","0.01786667","0.54","16.30465","0.01786667","0.54","27.89974","0.01793333"
"0.55","0.4371007","0.0182","0.55","23.88954","0.01816667","0.55","16.373","0.01823333","0.55","28.09048","0.01823333"
"0.56","0.4291534","0.01853333","0.56","23.9404","0.0185","0.56","16.40161","0.01856667","0.56","28.17313","0.0186"
"0.57","0.4180273","0.01886667","0.57","23.99921","0.01883333","0.57","16.39684","0.01886667","0.57","28.18902","0.01893333"
"0.58","0.4132589","0.0192","0.58","24.06756","0.01916667","0.58","16.38889","0.0192","0.58","28.19061","0.01926667"
"0.59","0.4212061","0.01956667","0.59","24.11366","0.01953333","0.59","16.38412","0.01953333","0.59","28.19061","0.0196"
"0.6","0.4386902","0.01993333","0.6","24.10571","0.01986667","0.6","16.37618","0.01983333","0.6","28.18108","0.01993333"
"0.61","0.4593531","0.02023333","0.61","24.06756","0.02023333","0.61","16.35075","0.02016667","0.61","28.16041","0.02026667"
"0.62","0.4720688","0.02056667","0.62","24.04372","0.02056667","0.62","16.29829","0.02053333","0.62","28.13975","0.0206"
"0.63","0.4720688","0.0209","0.63","24.07233","0.0209","0.63","16.21087","0.02083333","0.63","28.13657","0.02093333"
"0.64","0.4641215","0.0212","0.64","24.13114","0.02123333","0.64","16.07259","0.0212","0.64","28.13498","0.0213"
"0.65","0.4641215","0.0215","0.65","24.18836","0.02156667","0.65","15.87232","0.02156667","0.65","28.12704","0.02163333"
"0.66","0.4800161","0.02186667","0.66","24.22174","0.02186667","0.66","15.64344","0.0219","0.66","28.11432","0.02196667"
"0.67","0.4927317","0.0222","0.67","24.23604","0.0222","0.67","15.49562","0.02223333","0.67","28.1016","0.02226667"
"0.68","0.4990896","0.02256667","0.68","24.23604","0.02253333","0.68","15.50674","0.02253333","0.68","28.08571","0.0226"
"0.69","0.4959106","0.0229","0.69","24.22333","0.02286667","0.69","15.64026","0.02283333","0.69","28.06187","0.02293333"
"0.7","0.5054474","0.02326667","0.7","24.20902","0.0232","0.7","15.80238","0.0232","0.7","28.03485","0.02326667"
"0.71","0.518163","0.0236","0.71","24.18995","0.02356667","0.71","15.93908","0.02353333","0.71","28.00624","0.0236"
"0.72","0.521342","0.02393333","0.72","24.16134","0.0239","0.72","16.05193","0.02386667","0.72","27.98239","0.02393333"
"0.73","0.5054474","0.02423333","0.73","24.1216","0.02423333","0.73","16.16478","0.02423333","0.73","27.96173","0.02423333"
"0.74","0.483195","0.02456667","0.74","24.07392","0.02456667","0.74","16.29353","0.02456667","0.74","27.95696","0.02456667"
"0.75","0.462532","0.02486667","0.75","24.031","0.02493333","0.75","16.44611","0.0249","0.75","27.96491","0.02493333"
