"1 _ 1",,,"2A",,,"1 _ 3",,,"4A",,
"Time","Force","Uzama","Time","Force","Uzama","Time","Force","Uzama","Time","Force","Uzama"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"10.9","0.3592173","0.3632","10.9","9.663899","0.3632333","10.9","20.30691","0.3632333","10.9","17.93067","0.3632667"
"10.91","0.3671646","0.3635333","10.91","9.668668","0.3635667","10.91","20.28465","0.3635667","10.91","17.9402","0.3636"
"10.92","0.3703435","0.3638667","10.92","9.711583","0.3639333","10.92","20.26399","0.3639","10.92","17.96087","0.3639333"
"10.93","0.3703435","0.3642","10.93","9.765625","0.3642667","10.93","20.23856","0.3642333","10.93","17.97199","0.3642667"
"10.94","0.3623962","0.3645333","10.94","9.805362","0.3646","10.94","20.18929","0.3645667","10.94","17.96087","0.3646334"
"10.95","0.3496806","0.3648667","10.95","9.826024","0.3649","10.95","20.12571","0.3649","10.95","17.95133","0.3649667"
"10.96","0.3385544","0.3652333","10.96","9.830792","0.3652333","10.96","20.07326","0.3652333","10.96","17.94815","0.3653333"
"10.97","0.3369649","0.3656","10.97","9.813309","0.3655667","10.97","20.06849","0.3655667","10.97","17.94497","0.3656667"
"10.98","0.3385544","0.3659","10.98","9.78152","0.3659","10.98","20.11776","0.3659","10.98","17.9402","0.3659667"
"10.99","0.3369649","0.3662333","10.99","9.759267","0.3662333","10.99","20.20995","0.3662667","10.99","17.94497","0.3662667"
"11","0.3290176","0.3665667","11","9.764035","0.3665667","11","20.31008","0.3665667","11","17.95133","0.3666"
"11.01","0.333786","0.3668667","11.01","9.776752","0.3669","11.01","20.38002","0.3669","11.01","17.92272","0.3669333"
"11.02","0.3544489","0.3672","11.02","9.78152","0.3672333","11.02","20.39274","0.3672333","11.02","17.88457","0.3672333"
"11.03","0.3639857","0.3675","11.03","9.768804","0.3675667","11.03","20.35618","0.3676","11.03","17.86868","0.3675667"
"11.04","0.3544489","0.3678667","11.04","9.756088","0.3679333","11.04","20.29737","0.3679333","11.04","17.87663","0.3679667"
"11.05","0.3385544","0.3682","11.05","9.748141","0.3682333","11.05","20.25604","0.3682667","11.05","17.87186","0.3683"
"11.06","0.333786","0.3685333","11.06","9.748141","0.3685667","11.06","20.26081","0.3685667","11.06","17.8655","0.3686"
"11.07","0.3369649","0.3688667","11.07","9.744962","0.3689","11.07","20.31008","0.3689","11.07","17.88139","0.3689"
"11.08","0.3369649","0.3692","11.08","9.744962","0.3692333","11.08","20.3673","0.3692333","11.08","17.89729","0.3692333"
"11.09","0.333786","0.3695667","11.09","9.744962","0.3696","11.09","20.38797","0.3695667","11.09","17.88934","0.3696"
"11.1","0.3369649","0.3699","11.1","9.738605","0.3699333","11.1","20.35618","0.3699333","11.1","17.87663","0.3699333"
"11.11","0.3385544","0.3702333","11.11","9.714763","0.3702667","11.11","20.30532","0.3702667","11.11","17.88139","0.3702667"
"11.12","0.3433228","0.3705333","11.12","9.694099","0.3706","11.12","20.26399","0.3706","11.12","17.89729","0.3705667"
"11.13","0.3592173","0.3708667","11.13","9.686152","0.3709","11.13","20.24333","0.3709333","11.13","17.89729","0.3709"
"11.14","0.3703435","0.3712","11.14","9.698868","0.3712333","11.14","20.22743","0.3712333","11.14","17.88616","0.3712333"
"11.15","0.371933","0.3715333","11.15","9.709994","0.3715667","11.15","20.21313","0.3715667","11.15","17.86868","0.3715667"
"11.16","0.3703435","0.3718667","11.16","9.702046","0.3718667","11.16","20.18929","0.3719","11.16","17.85119","0.3719333"
"11.17","0.3751119","0.3722","11.17","9.684563","0.3722333","11.17","20.15273","0.3722333","11.17","17.83053","0.3722667"
"11.18","0.371933","0.3725334","11.18","9.676616","0.3725667","11.18","20.1114","0.3725667","11.18","17.81782","0.3726"
"11.19","0.3576279","0.3728667","11.19","9.684563","0.3729","11.19","20.0812","0.3729","11.19","17.81464","0.3729333"
"11.2","0.3433228","0.3732333","11.2","9.702046","0.3732333","11.2","20.07166","0.3732333","11.2","17.81146","0.3732667"
"11.21","0.3465017","0.3735667","11.21","9.706815","0.3735667","11.21","20.08915","0.3735667","11.21","17.80987","0.3735667"
"11.22","0.3544489","0.3738667","11.22","9.697278","0.3739","11.22","20.13048","0.3739","11.22","17.80669","0.3739"
"11.23","0.3496806","0.3742","11.23","9.689331","0.3742333","11.23","20.19246","0.3742333","11.23","17.80351","0.3742333"
"11.24","0.3369649","0.3745333","11.24","9.684563","0.3746","11.24","20.2767","0.3745667","11.24","17.79715","0.3745667"
"11.25","0.3385544","0.3748667","11.25","9.676616","0.3749333","11.25","20.36095","0.3749","11.25","17.79715","0.3749"
"11.26","0.3576279","0.3752","11.26","9.663899","0.3752667","11.26","20.4134","0.3752","11.26","17.80669","0.3752334"
"11.27","0.3751119","0.3755333","11.27","9.652774","0.3756","11.27","20.41022","0.3755667","11.27","17.82417","0.3756"
"11.28","0.3798803","0.3758667","11.28","9.644826","0.3759333","11.28","20.37525","0.3759","11.28","17.83689","0.3759333"
"11.29","0.3798803","0.3762","11.29","9.640058","0.3762333","11.29","20.33869","0.3762667","11.29","17.8353","0.3762667"
"11.3","0.3767014","0.3765333","11.3","9.636879","0.3765667","11.3","20.32121","0.3765667","11.3","17.81782","0.3765667"
"11.31","0.3639857","0.3768667","11.31","9.635289","0.3769","11.31","20.32757","0.3769333","11.31","17.79079","0.3769333"
"11.32","0.333786","0.3772","11.32","9.632111","0.3772667","11.32","20.38002","0.3772667","11.32","17.77013","0.3772667"
"11.33","0.3099442","0.3775333","11.33","9.627342","0.3776","11.33","20.48492","0.3776","11.33","17.76854","0.3776"
"11.34","0.3131231","0.3778667","11.34","9.619395","0.3779333","11.34","20.61367","0.3779","11.34","17.78126","0.3779333"
"11.35","0.3258387","0.3782","11.35","9.609859","0.3782667","11.35","20.71857","0.3782333","11.35","17.79079","0.3782667"
"11.36","0.3369649","0.3785333","11.36","9.601911","0.3786","11.36","20.76785","0.3785667","11.36","17.79079","0.3786"
"11.37","0.3417333","0.3788667","11.37","9.593964","0.3789","11.37","20.75354","0.3789","11.37","17.78285","0.3789"
"11.38","0.3465017","0.3792","11.38","9.586017","0.3792333","11.38","20.69632","0.3792667","11.38","17.76536","0.3792667"
"11.39","0.3433228","0.3795","11.39","9.586017","0.3795667","11.39","20.64705","0.3796","11.39","17.7447","0.3796"
"11.4","0.3385544","0.3798667","11.4","9.6035","0.3799","11.4","20.64228","0.3799","11.4","17.73516","0.3799333"
"11.41","0.3385544","0.3802","11.41","9.622574","0.3802","11.41","20.69632","0.3802333","11.41","17.7447","0.3802667"
"11.42","0.3369649","0.3805333","11.42","9.616216","0.3805333","11.42","20.79169","0.3805667","11.42","17.7606","0.3806"
"11.43","0.3385544","0.3808667","11.43","9.601911","0.3809","11.43","20.90454","0.3809","11.43","17.75265","0.3809333"
"11.44","0.3496806","0.3812333","11.44","9.590785","0.3812333","11.44","20.99991","0.3812333","11.44","17.7145","0.3812667"
"11.45","0.371933","0.3815667","11.45","9.582837","0.3815667","11.45","21.05395","0.3816","11.45","17.67317","0.3815667"
"11.46","0.3973643","0.3819","11.46","9.570122","0.3819333","11.46","21.0619","0.3819333","11.46","17.64933","0.3819333"
"11.47","0.4053116","0.3822334","11.47","9.54787","0.3822667","11.47","21.02534","0.3822334","11.47","17.64933","0.3822667"
"11.48","0.3830592","0.3825667","11.48","9.528796","0.3825667","11.48","20.97607","0.3825667","11.48","17.65728","0.3826"
"11.49","0.3639857","0.3829","11.49","9.527206","0.3829","11.49","20.95381","0.3828667","11.49","17.65569","0.3829"
"11.5","0.3703435","0.3832","11.5","9.528796","0.3832","11.5","20.98878","0.3832","11.5","17.64456","0.3832333"
"11.51","0.3878275","0.3835667","11.51","9.522438","0.3835333","11.51","21.06349","0.3835333","11.51","17.63503","0.3835667"
"11.52","0.4037221","0.3839","11.52","9.503365","0.3838667","11.52","21.12547","0.3839","11.52","17.62867","0.3839"
"11.53","0.4132589","0.3842333","11.53","9.482701","0.3842","11.53","21.14614","0.3842333","11.53","17.61436","0.3842667"
"11.54","0.4164378","0.3845667","11.54","9.469986","0.3845667","11.54","21.15885","0.3845667","11.54","17.58099","0.3846"
"11.55","0.4164378","0.3849","11.55","9.469986","0.3849","11.55","21.21607","0.3849334","11.55","17.55714","0.3849334"
"11.56","0.4132589","0.3852667","11.56","9.482701","0.3852333","11.56","21.32893","0.3852667","11.56","17.55396","0.3852667"
"11.57","0.4180273","0.3855667","11.57","9.490649","0.3855667","11.57","21.46085","0.3856","11.57","17.56032","0.3856"
"11.58","0.4212061","0.3859","11.58","9.477933","0.3859","11.58","21.56893","0.3859","11.58","17.55396","0.3859333"
"11.59","0.4132589","0.3862","11.59","9.462039","0.3863","11.59","21.63728","0.3862333","11.59","17.54125","0.3862667"
"11.6","0.4053116","0.3865667","11.6","9.460449","0.3866333","11.6","21.67384","0.3865667","11.6","17.55238","0.3866"
"11.61","0.4053116","0.3869","11.61","9.469986","0.3869667","11.61","21.68973","0.3869","11.61","17.56986","0.3869333"
"11.62","0.4164378","0.3872333","11.62","9.468396","0.3872667","11.62","21.69132","0.3872333","11.62","17.56032","0.3872667"
"11.63","0.4212061","0.3876","11.63","9.449323","0.3876333","11.63","21.69927","0.3875667","11.63","17.52377","0.3876"
"11.64","0.4164378","0.3879","11.64","9.435018","0.3879667","11.64","21.71834","0.3879","11.64","17.49357","0.3879333"
"11.65","0.4084905","0.3882333","11.65","9.435018","0.3882667","11.65","21.75649","0.3883","11.65","17.49357","0.3882667"
"11.66","0.3973643","0.3885667","11.66","9.444554","0.3885667","11.66","21.78669","0.3886","11.66","17.51264","0.3886"
"11.67","0.3910065","0.3889","11.67","9.441376","0.3889333","11.67","21.78192","0.3889333","11.67","17.519","0.3889333"
"11.68","0.3957748","0.3892334","11.68","9.427071","0.3892667","11.68","21.72311","0.3892334","11.68","17.49833","0.3892667"
"11.69","0.4084905","0.3896","11.69","9.406407","0.3895667","11.69","21.64046","0.3895667","11.69","17.46972","0.3896333"
"11.7","0.4084905","0.3899","11.7","9.390513","0.3899","11.7","21.57688","0.3899","11.7","17.46178","0.3899667"
"11.71","0.3910065","0.3902","11.71","9.373029","0.3902333","11.71","21.53238","0.3902333","11.71","17.46655","0.3903"
"11.72","0.3703435","0.3905667","11.72","9.357135","0.3905667","11.72","21.50218","0.3905667","11.72","17.46019","0.3906333"
"11.73","0.3639857","0.3909","11.73","9.361903","0.3909333","11.73","21.4688","0.3909","11.73","17.44588","0.3909667"
"11.74","0.3767014","0.3912667","11.74","9.380977","0.3912667","11.74","21.42429","0.3912667","11.74","17.44429","0.3913"
"11.75","0.3957748","0.3915667","11.75","9.387334","0.3915667","11.75","21.37343","0.3916","11.75","17.43952","0.3916"
"11.76","0.4005432","0.3919","11.76","9.377797","0.3919","11.76","21.32416","0.3919334","11.76","17.41568","0.3919334"
"11.77","0.3957748","0.3922333","11.77","9.361903","0.3922","11.77","21.27965","0.3922667","11.77","17.38707","0.3922667"
"11.78","0.3878275","0.3925333","11.78","9.347598","0.3925333","11.78","21.2574","0.3925667","11.78","17.3823","0.3926333"
"11.79","0.3798803","0.3929","11.79","9.33965","0.3929","11.79","21.27012","0.3929","11.79","17.3982","0.3929333"
"11.8","0.3671646","0.3932","11.8","9.344419","0.3932667","11.8","21.29555","0.3932333","11.8","17.40774","0.3933"
"11.81","0.371933","0.3935667","11.81","9.361903","0.3935667","11.81","21.31303","0.3935333","11.81","17.39979","0.3936333"
"11.82","0.3925959","0.3938667","11.82","9.377797","0.3938667","11.82","21.31939","0.3938667","11.82","17.3823","0.3939667"
"11.83","0.4053116","0.3942","11.83","9.380977","0.3942","11.83","21.30826","0.3942333","11.83","17.35687","0.3942667"
"11.84","0.3973643","0.3945667","11.84","9.365082","0.3945667","11.84","21.27965","0.3945333","11.84","17.32349","0.3946333"
"11.85","0.3798803","0.3949","11.85","9.33965","0.3949","11.85","21.24468","0.3948667","11.85","17.29488","0.3949667"
"11.86","0.371933","0.3952","11.86","9.31263","0.3952","11.86","21.21925","0.3952333","11.86","17.29012","0.3953"
"11.87","0.3671646","0.3955333","11.87","9.293556","0.3955333","11.87","21.22402","0.3955667","11.87","17.29806","0.3956333"
"11.88","0.3576279","0.3958667","11.88","9.28243","0.3959","11.88","21.24627","0.3959","11.88","17.29012","0.3959667"
"11.89","0.3433228","0.3962","11.89","9.277661","0.3962334","11.89","21.27012","0.3962334","11.89","17.27104","0.3963"
"11.9","0.3417333","0.3965667","11.9","9.279251","0.3965667","11.9","21.2876","0.3966","11.9","17.26151","0.3966"
"11.91","0.3496806","0.3969","11.91","9.28243","0.3968667","11.91","21.31144","0.3969333","11.91","17.25833","0.3969"
"11.92","0.3496806","0.3972667","11.92","9.285609","0.3972","11.92","21.33211","0.3972333","11.92","17.24879","0.3972333"
"11.93","0.3433228","0.3975667","11.93","9.287198","0.3975667","11.93","21.33369","0.3975333","11.93","17.24084","0.3975667"
"11.94","0.3417333","0.3978667","11.94","9.290378","0.3979","11.94","21.32893","0.3979","11.94","17.24084","0.3979"
"11.95","0.3385544","0.3982","11.95","9.290378","0.3982333","11.95","21.32893","0.3982333","11.95","17.23289","0.3982667"
"11.96","0.3369649","0.3985333","11.96","9.285609","0.3985667","11.96","21.33369","0.3985667","11.96","17.217","0.3986333"
"11.97","0.333786","0.3989","11.97","9.269714","0.3989","11.97","21.32098","0.3989","11.97","17.2027","0.3989667"
"11.98","0.3433228","0.3992333","11.98","9.249051","0.3992","11.98","21.27965","0.3992333","11.98","17.18998","0.3993"
"11.99","0.3639857","0.3995333","11.99","9.233157","0.3995667","11.99","21.22879","0.3995667","11.99","17.17567","0.3996333"
"12","0.3830592","0.3998667","12","9.218852","0.3999","12","21.19223","0.3999","12","17.16137","0.3999333"
"12.01","0.3846487","0.4002","12.01","9.210904","0.4002333","12.01","21.16203","0.4002333","12.01","17.15501","0.4002667"
"12.02","0.3846487","0.4005333","12.02","9.215672","0.4005667","12.02","21.12547","0.4005667","12.02","17.14865","0.4006"
"12.03","0.3846487","0.4009","12.03","9.220441","0.4009","12.03","21.10322","0.4009","12.03","17.12799","0.4009333"
"12.04","0.3846487","0.4012","12.04","9.22362","0.4012","12.04","21.11117","0.4012333","12.04","17.09938","0.4012667"
"12.05","0.3751119","0.4015667","12.05","9.218852","0.4015667","12.05","21.14455","0.4015667","12.05","17.0819","0.4016"
"12.06","0.3592173","0.4019","12.06","9.207726","0.4019","12.06","21.19223","0.4019","12.06","17.08349","0.4019333"
"12.07","0.3496806","0.4022","12.07","9.19501","0.4022667","12.07","21.23356","0.4022","12.07","17.09461","0.4022667"
"12.08","0.35127","0.4025667","12.08","9.182294","0.4025667","12.08","21.24151","0.4025334","12.08","17.08825","0.4026"
"12.09","0.3623962","0.4029","12.09","9.171168","0.4029","12.09","21.21925","0.4028667","12.09","17.06123","0.4029333"
"12.1","0.3639857","0.4032333","12.1","9.16481","0.4032333","12.1","21.1827","0.4032333","12.1","17.01673","0.4032667"
"12.11","0.3592173","0.4035667","12.11","9.158452","0.4035667","12.11","21.11753","0.4035667","12.11","16.97858","0.4036"
"12.12","0.3544489","0.4039","12.12","9.156863","0.4039","12.12","21.00786","0.4039","12.12","16.95951","0.4039667"
"12.13","0.3544489","0.4042","12.13","9.150505","0.4042333","12.13","20.87434","0.4042","12.13","16.95951","0.4042667"
"12.14","0.3592173","0.4045667","12.14","9.145737","0.4045667","12.14","20.77262","0.4045333","12.14","16.97381","0.4046"
"12.15","0.3623962","0.4048667","12.15","9.131432","0.4049","12.15","20.73288","0.4048667","12.15","16.98653","0.4049333"
"12.16","0.3544489","0.4052333","12.16","9.110768","0.4052333","12.16","20.72175","0.4052333","12.16","16.9754","0.4053"
"12.17","0.35127","0.4055333","12.17","9.090106","0.4055667","12.17","20.6995","0.4055667","12.17","16.94997","0.4056333"
"12.18","0.3592173","0.4058667","12.18","9.07739","0.4059","12.18","20.63751","0.4059","12.18","16.92136","0.4059667"
"12.19","0.371933","0.4062","12.19","9.082158","0.4062333","12.19","20.52148","0.4062333","12.19","16.91341","0.4062667"
"12.2","0.3751119","0.4065333","12.2","9.096463","0.4065667","12.2","20.34664","0.4066","12.2","16.91341","0.4066"
"12.21","0.3639857","0.4068667","12.21","9.104411","0.4069","12.21","20.1114","0.4069333","12.21","16.91183","0.4069333"
"12.22","0.3544489","0.4072","12.22","9.091695","0.4072333","12.22","19.8698","0.4072333","12.22","16.90547","0.4072667"
"12.23","0.35127","0.4075333","12.23","9.071033","0.4075667","12.23","19.69337","0.4075667","12.23","16.89593","0.4076"
"12.24","0.3592173","0.4078667","12.24","9.061496","0.4078667","12.24","19.61549","0.4078667","12.24","16.88639","0.4079333"
"12.25","0.3767014","0.4082","12.25","9.058316","0.4082","12.25","19.60278","0.4082","12.25","16.8705","0.4082667"
"12.26","0.3878275","0.4085333","12.26","9.063085","0.4085333","12.26","19.60754","0.4085333","12.26","16.86573","0.4086"
"12.27","0.3846487","0.4088667","12.27","9.058316","0.4088667","12.27","19.59483","0.4088667","12.27","16.86255","0.4089333"
"12.28","0.3703435","0.4092","12.28","9.037654","0.4092333","12.28","19.55191","0.4092333","12.28","16.85778","0.4092667"
"12.29","0.3544489","0.4095334","12.29","9.009044","0.4095667","12.29","19.4788","0.4095667","12.29","16.83712","0.4096"
"12.3","0.3465017","0.4098667","12.3","8.982022","0.4099","12.3","19.40727","0.4099","12.3","16.81646","0.4099333"
"12.31","0.333786","0.4102","12.31","8.955002","0.4102333","12.31","19.36595","0.4102333","12.31","16.79579","0.4102667"
"12.32","0.3210703","0.4105333","12.32","8.93275","0.4105667","12.32","19.34528","0.4105333","12.32","16.77513","0.4106"
"12.33","0.3035863","0.4108667","12.33","8.924802","0.4109","12.33","19.29601","0.4108667","12.33","16.76241","0.4109"
"12.34","0.2924601","0.4112","12.34","8.92957","0.4112333","12.34","19.21495","0.4112333","12.34","16.77036","0.4112667"
"12.35","0.295639","0.4115667","12.35","8.940697","0.4115667","12.35","19.12117","0.4115667","12.35","16.78308","0.4115667"
"12.36","0.2972285","0.4119","12.36","8.935928","0.4119","12.36","19.04646","0.4119","12.36","16.77831","0.4119"
"12.37","0.3004074","0.4122334","12.37","8.921623","0.4122667","12.37","18.98766","0.4122334","12.37","16.75765","0.4122667"
"12.38","0.3099442","0.4125333","12.38","8.916855","0.4126","12.38","18.93679","0.4125667","12.38","16.74334","0.4125667"
"12.39","0.333786","0.4128667","12.39","8.927981","0.4129333","12.39","18.88434","0.4129","12.39","16.74334","0.4129"
"12.4","0.3496806","0.4132","12.4","8.93275","0.4132667","12.4","18.82553","0.4132333","12.4","16.74652","0.4132333"
"12.41","0.3496806","0.4135667","12.41","8.916855","0.4136","12.41","18.73493","0.4135667","12.41","16.74334","0.4135667"
"12.42","0.3385544","0.4139333","12.42","8.888245","0.4139333","12.42","18.59983","0.4139","12.42","16.72904","0.4139"
"12.43","0.3369649","0.4142667","12.43","8.870761","0.4142667","12.43","18.42499","0.4142333","12.43","16.70837","0.4142333"
"12.44","0.3465017","0.4146","12.44","8.861224","0.4146","12.44","18.24856","0.4145667","12.44","16.68771","0.4146"
"12.45","0.3639857","0.4149","12.45","8.845329","0.4149","12.45","18.10074","0.4149","12.45","16.68294","0.4149333"
"12.46","0.3751119","0.4152333","12.46","8.824666","0.4152667","12.46","18.01014","0.4152333","12.46","16.68771","0.4152333"
"12.47","0.3671646","0.4155667","12.47","8.804004","0.4156","12.47","18.02603","0.4155667","12.47","16.69248","0.4156"
"12.48","0.35127","0.4159","12.48","8.792877","0.4159","12.48","18.14842","0.4159","12.48","16.68294","0.4159667"
"12.49","0.3496806","0.4162333","12.49","8.799235","0.4162333","12.49","18.363","0.4162667","12.49","16.66705","0.4162667"
"12.5","0.35127","0.4165667","12.5","8.81354","0.4166","12.5","18.66341","0.4166","12.5","16.65433","0.4166333"
"12.51","0.3496806","0.4168667","12.51","8.827846","0.4169333","12.51","19.00514","0.4169667","12.51","16.63049","0.4169333"
"12.52","0.3433228","0.4172","12.52","8.816719","0.4172667","12.52","19.26263","0.4172667","12.52","16.59552","0.4172667"
"12.53","0.3369649","0.4175333","12.53","8.780162","0.4176","12.53","19.40409","0.4176","12.53","16.5685","0.4176"
"12.54","0.3290176","0.4178667","12.54","8.746783","0.4179","12.54","19.55191","0.4179333","12.54","16.57168","0.4179667"
"12.55","0.3178914","0.4182","12.55","8.737247","0.4182333","12.55","19.78238","0.4182333","12.55","16.58281","0.4183"
"12.56","0.3099442","0.4185333","12.56","8.745193","0.4185333","12.56","20.04782","0.4185667","12.56","16.58916","0.4186"
"12.57","0.3035863","0.4189","12.57","8.75314","0.4189","12.57","20.27194","0.4189","12.57","16.59552","0.4189"
"12.58","0.295639","0.4192334","12.58","8.75473","0.4192334","12.58","20.43883","0.4192667","12.58","16.60029","0.4192334"
"12.59","0.2972285","0.4195667","12.59","8.746783","0.4195667","12.59","20.57711","0.4196","12.59","16.59552","0.4196"
"12.6","0.3178914","0.4199","12.6","8.729299","0.4199","12.6","20.68838","0.4199","12.6","16.5844","0.4199667"
"12.61","0.3369649","0.4202333","12.61","8.703868","0.4202333","12.61","20.74242","0.4202667","12.61","16.57645","0.4203"
"12.62","0.3417333","0.4205667","12.62","8.678436","0.4205667","12.62","20.71699","0.4206","12.62","16.57168","0.4206333"
"12.63","0.3496806","0.4209","12.63","8.662541","0.4209333","12.63","20.64705","0.4209333","12.63","16.56373","0.4209667"
"12.64","0.371933","0.4212","12.64","8.657773","0.4212667","12.64","20.58824","0.4212333","12.64","16.55579","0.4213"
"12.65","0.3973643","0.4215333","12.65","8.646647","0.4216","12.65","20.56758","0.4215667","12.65","16.55102","0.4216"
"12.66","0.4084905","0.4218667","12.66","8.621216","0.4219","12.66","20.57552","0.4219","12.66","16.54148","0.4219333"
"12.67","0.4005432","0.4222","12.67","8.583069","0.4222333","12.67","20.58029","0.4222667","12.67","16.52559","0.4222667"
"12.68","0.3767014","0.4225667","12.68","8.554459","0.4225667","12.68","20.56758","0.4226","12.68","16.51287","0.4225667"
"12.69","0.3592173","0.4229","12.69","8.55128","0.4229","12.69","20.54214","0.4229333","12.69","16.50969","0.4229333"
"12.7","0.3544489","0.4232","12.7","8.562406","0.4232667","12.7","20.53738","0.4232667","12.7","16.50969","0.4232333"
"12.71","0.3592173","0.4235334","12.71","8.567174","0.4236","12.71","20.55168","0.4235667","12.71","16.5081","0.4236"
"12.72","0.3592173","0.4238667","12.72","8.570354","0.4239","12.72","20.57234","0.4239","12.72","16.5081","0.4239333"
"12.73","0.35127","0.4242333","12.73","8.575122","0.4242","12.73","20.58506","0.4242333","12.73","16.50492","0.4242667"
"12.74","0.3433228","0.4245667","12.74","8.576711","0.4245333","12.74","20.6089","0.4245667","12.74","16.50492","0.4246"
"12.75","0.3369649","0.4249","12.75","8.575122","0.4248667","12.75","20.65817","0.4249","12.75","16.50492","0.4249333"
"12.76","0.333786","0.4252333","12.76","8.575122","0.4252667","12.76","20.71222","0.4252667","12.76","16.50175","0.4253"
"12.77","0.3369649","0.4255667","12.77","8.583069","0.4256","12.77","20.73288","0.4255667","12.77","16.49221","0.4256333"
"12.78","0.3417333","0.4259","12.78","8.587837","0.4259333","12.78","20.69632","0.4259","12.78","16.47949","0.4259333"
"12.79","0.3465017","0.4262334","12.79","8.583069","0.4262667","12.79","20.6248","0.4262334","12.79","16.47472","0.4262667"
"12.8","0.3417333","0.4265333","12.8","8.575122","0.4266","12.8","20.52148","0.4265667","12.8","16.48744","0.4266"
"12.81","0.3369649","0.4268333","12.81","8.567174","0.4269","12.81","20.38479","0.4269","12.81","16.50969","0.4269333"
"12.82","0.3290176","0.4272","12.82","8.559227","0.4272667","12.82","20.25127","0.4272333","12.82","16.52241","0.4272667"
"12.83","0.3178914","0.4275333","12.83","8.546512","0.4275667","12.83","20.16862","0.4275667","12.83","16.5081","0.4276"
"12.84","0.3083547","0.4278667","12.84","8.536975","0.4279","12.84","20.11458","0.4279","12.84","16.47154","0.4279333"
"12.85","0.3051758","0.4282333","12.85","8.538564","0.4282333","12.85","20.06054","0.4282333","12.85","16.43976","0.4282667"
"12.86","0.3051758","0.4285667","12.86","8.554459","0.4285667","12.86","20.04465","0.4286","12.86","16.43499","0.4286333"
"12.87","0.2972285","0.4289334","12.87","8.563995","0.4289","12.87","20.09392","0.4289667","12.87","16.46042","0.4289667"
"12.88","0.2765656","0.4292333","12.88","8.557637","0.4292333","12.88","20.15273","0.4292667","12.88","16.49698","0.4293"
"12.89","0.2511342","0.4295667","12.89","8.543332","0.4295667","12.89","20.15591","0.4295667","12.89","16.50175","0.4296"
"12.9","0.2352397","0.4299","12.9","8.538564","0.4299","12.9","20.09233","0.4299","12.9","16.47154","0.4299333"
"12.91","0.2336502","0.4302667","12.91","8.533795","0.4302667","12.91","19.96994","0.4302333","12.91","16.43022","0.4302667"
"12.92","0.2415975","0.4305667","12.92","8.509953","0.4306","12.92","19.80305","0.4305667","12.92","16.40479","0.4306"
"12.93","0.2511342","0.4308667","12.93","8.489291","0.4309333","12.93","19.59165","0.4309","12.93","16.40479","0.4309"
"12.94","0.2511342","0.4312333","12.94","8.489291","0.4312667","12.94","19.36913","0.4312333","12.94","16.4175","0.4312667"
"12.95","0.2543131","0.4315667","12.95","8.500417","0.4315667","12.95","19.207","0.4315667","12.95","16.43022","0.4316"
"12.96","0.2717972","0.4319","12.96","8.505185","0.4319","12.96","19.15455","0.4319","12.96","16.43022","0.4319333"
"12.97","0.3004074","0.4322333","12.97","8.509953","0.4322333","12.97","19.21495","0.4322","12.97","16.41273","0.4322667"
"12.98","0.3226598","0.4325667","12.98","8.509953","0.4325667","12.98","19.3278","0.4325667","12.98","16.39207","0.4326"
"12.99","0.3433228","0.4329","12.99","8.503596","0.4329","12.99","19.41522","0.4329","12.99","16.38412","0.4329333"
"13","0.371933","0.4332334","13","8.487701","0.4332334","13","19.41204","0.4332334","13","16.37936","0.4332667"
"13.01","0.3910065","0.4335667","13.01","8.470218","0.4335667","13.01","19.33734","0.4336","13.01","16.36823","0.4336"
"13.02","0.3910065","0.4339","13.02","8.446376","0.4339","13.02","19.26104","0.4339","13.02","16.36346","0.4339333"
"13.03","0.371933","0.4342","13.03","8.428891","0.4342333","13.03","19.2372","0.4342333","13.03","16.373","0.4342667"
"13.04","0.3623962","0.4345333","13.04","8.420944","0.4345333","13.04","19.28806","0.4345667","13.04","16.37936","0.4346"
"13.05","0.3592173","0.4348333","13.05","8.420944","0.4348667","13.05","19.39138","0.4349","13.05","16.36346","0.4349333"
"13.06","0.3623962","0.4352","13.06","8.416176","0.4352","13.06","19.51218","0.4352333","13.06","16.33008","0.4352667"
"13.07","0.3639857","0.4355667","13.07","8.408229","0.4355333","13.07","19.65205","0.4355667","13.07","16.29353","0.4356"
"13.08","0.3671646","0.4359","13.08","8.416176","0.4358667","13.08","19.78238","0.4358667","13.08","16.27286","0.4359334"
"13.09","0.371933","0.4362333","13.09","8.430481","0.4362","13.09","19.86504","0.4362333","13.09","16.27286","0.4362667"
"13.1","0.3798803","0.4365667","13.1","8.430481","0.4365333","13.1","19.88888","0.4365667","13.1","16.28876","0.4366"
"13.11","0.3767014","0.4369","13.11","8.408229","0.4368667","13.11","19.88888","0.4369","13.11","16.29671","0.4369333"
"13.12","0.371933","0.4372","13.12","8.379619","0.4372","13.12","19.89524","0.4372333","13.12","16.27127","0.4373"
"13.13","0.3751119","0.4375333","13.13","8.358955","0.4375667","13.13","19.91113","0.4375667","13.13","16.23472","0.4376333"
"13.14","0.3830592","0.4379","13.14","8.355777","0.4379","13.14","19.90318","0.4379","13.14","16.222","0.4379667"
"13.15","0.3751119","0.4382333","13.15","8.368492","0.4382333","13.15","19.8555","0.4382","13.15","16.23472","0.4382667"
